,Unnamed: 0_x,id,device_id_x,datetime_EST,label,Unnamed: 0_y,device_id_y,mean_magnitude_x,std_magnitude_x,median_magnitude_x,min_magnitude_x,max_magnitude_x,mean_x_x,mean_y_x,mean_z_x,variance_x_x,variance_y_x,variance_z_x,correlation_xy_x,correlation_yz_x,correlation_xz_x,covariance_xy_x,covariance_yz_x,covariance_xz_x,skew_x_x,skew_y_x,skew_z_x,kurtosis_x_x,kurtosis_y_x,kurtosis_z_x,epoch_x,weekday_x,group_x,Unnamed: 0_x,device_id_x,mean_magnitude_y,std_magnitude_y,median_magnitude_y,min_magnitude_y,max_magnitude_y,epoch_y,weekday_y,group_y,Unnamed: 0_y,device_id_y,mean_battery_level,std_battery_level,median_battery_level,min_battery_level,max_battery_level,epoch_x,weekday_x,group_x,Unnamed: 0_x,device_id_x,num_rows_battery,length_of_charge_minutes,epoch_y,weekday_y,group_y,Unnamed: 0_y,device_id_y,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,mean_x_y,mean_y_y,mean_z_y,variance_x_y,variance_y_y,variance_z_y,correlation_xy_y,correlation_yz_y,correlation_xz_y,covariance_xy_y,covariance_yz_y,covariance_xz_y,skew_x_y,skew_y_y,skew_z_y,kurtosis_x_y,kurtosis_y_y,kurtosis_z_y,epoch_x,weekday_x,group_x,Unnamed: 0_x,device_id_x,number_samples_location,location_variance,location_variance_log,location_entropy,location_entropy_normalized,number_location_transitions,number_of_clusters,moving_time_percent,circadian_movement,total_distance_meters,speed_mean_meters_per_sec,speed_var_meters_per_sec,time_at_cluster_1,time_at_cluster_2,time_at_cluster_3,time_at_cluster_1_in_group,time_at_cluster_2_in_group,time_at_cluster_3_in_group,max_len_stay_at_clusters_in_minutes,min_len_stay_at_clusters_in_minutes,std_len_stay_at_clusters_in_minutes,mean_len_stay_at_clusters_in_minutes,radius_of_gyration,outliers_time_percent,home_stay_time_percent_10m,home_stay_time_percent_100m,location_entropy_local,location_entropy_normalized_local,number_location_transitions_local,number_of_clusters_local,moving_time_percent_local,time_at_cluster_1_local,time_at_cluster_2_local,time_at_cluster_3_local,max_len_stay_at_clusters_in_minutes_local,min_len_stay_at_clusters_in_minutes_local,std_len_stay_at_clusters_in_minutes_local,mean_len_stay_at_clusters_in_minutes_local,outliers_time_percent_local,epoch_y,weekday_y,group_y,Unnamed: 0_y,device_id_y,number_samples_screen,unlocks_per_minute,number_of_minutes_interaction,max_len_minute_interaction_bout,min_len_minute_interaction_bout,std_len_minute_interaction_bout,mean_len_minute_interaction_bout,number_of_minutes_unlock,max_len_minute_unlock_bout,min_len_minute_unlock_bout,std_len_minute_unlock_bout,mean_len_minute_unlock_bout,first_unlock_for_grpbyday,first_on_for_grpbyday,last_unlock_for_grpbyday,last_lock_for_grpbyday,last_on_for_grpbyday,epoch,weekday,group
0,0.0,1.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-10 09:00:00,0.0,0.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.9964129999999999,0.0189532,0.996232,0.689775,1.7139099999999998,0.00602107,-0.0594313,-0.981672,0.00389335,0.018136199999999998,0.00391891,-0.37194099999999997,-0.751023,0.539794,-0.00312599,-0.00633269,0.00210888,7.02295,-3.08468,6.841710000000001,94.8566,10.8663,72.1415,allday,,3_hour,0.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1009.17,0.0301783,1009.18,1009.1,1009.24,allday,,3_hour,0.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,25.0,0.816497,25.0,24.0,26.0,allday,,3_hour,0.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.0,889.398,allday,,3_hour,0.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.045587300000000004,0.302079,0.00885318,0.00180232,7.1943399999999995,-0.00151843,0.00672065,-0.0063401,0.028283,0.0526659,0.0122931,-0.032672,0.23346,-0.397388,-0.0012612,0.00594139,-0.0074112,11.7748,-1.07168,-6.1828199999999995,528.16,400.191,241.361,allday,,3_hour,0.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.0,,,-0.0,-0.0,0.0,1.0,0.0,,0.0,,,100.0,0.0,0.0,10.0,,,10.0,10.0,0.0,10.0,0.0,-0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,1.0,allday,,3_hour,0.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,5.0,0.00138889,1.0078200000000002,0.535583,0.472233,0.031675,0.503908,1.0078200000000002,0.535583,0.472233,0.031675,0.503908,2021-09-09 22:50:19,,2021-09-09 22:55:02,2021-09-10 23:59:59,,allday,,3_hour
1,1.0,2.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-10 12:00:00,-1.0,1.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.02264,0.260785,0.996662,0.18945399999999998,5.4734,-0.15753399999999998,0.0353577,-0.707466,0.127247,0.28070100000000003,0.179274,-0.061264,0.5833050000000001,-0.25957600000000003,-0.011579,0.130856,-0.0392072,-1.06701,1.67527,0.901697,2.80538,4.53774,-0.100104,allday,,3_hour,1.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1009.45,0.718542,1009.13,1008.59,1011.23,allday,,3_hour,1.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,12.0,6.63325,12.0,1.0,23.0,allday,,3_hour,,,,,,,,1.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.824542,1.05407,0.488601,0.00308887,12.4443,0.00135952,0.010160700000000002,0.00616898,0.7059310000000001,0.577549,0.507304,-0.229408,-0.259372,0.03292,-0.146488,-0.140401,0.0197013,0.304141,0.516478,0.134643,7.947430000000001,14.4037,10.3895,allday,,3_hour,1.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,2.48169e-05,-4.60525,0.325083,0.16254100000000002,2.0,2.0,0.277778,-1.6474099999999998,2251.44,0.22073,0.12168699999999999,100.0,900.0,0.0,90.0,10.0,,90.0,10.0,33.9935,43.3333,0.0178058,0.166667,0.11111099999999999,0.11111099999999999,,,0.0,0.0,0.277778,0.0,0.0,0.0,130.0,130.0,0.0,130.0,0.722222,allday,,3_hour,1.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,15.0,0.00555556,1479.01,1426.37,0.0196,469.30300000000005,184.87599999999998,1479.01,1426.37,0.0196,469.30300000000005,184.87599999999998,2021-09-09 23:09:26,,2021-09-10 23:59:59,2021-09-10 00:13:32,,allday,,3_hour
2,2.0,3.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-10 15:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,8.553110000000001e-28,-27.0679,-0.0,-0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1800.0,0.0,180.0,,,180.0,180.0,0.0,180.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,1800.0,0.0,0.0,180.0,180.0,0.0,180.0,-0.0,allday,,3_hour,,,,,,,,,,,,,,,,,,,,,,
3,3.0,4.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-10 18:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,8.553110000000001e-28,-27.0679,-0.0,-0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1800.0,0.0,180.0,,,180.0,180.0,0.0,180.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,1800.0,0.0,0.0,180.0,180.0,0.0,180.0,-0.0,allday,,3_hour,,,,,,,,,,,,,,,,,,,,,,
4,4.0,5.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-10 21:00:00,1.0,2.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.0044899999999999,0.0114167,1.0051299999999999,0.657589,1.42028,-0.0471094,-0.172784,0.8097300000000001,0.22225799999999998,0.013623500000000002,0.0855099,-0.347554,0.7318359999999999,-0.254107,-0.0191251,0.0249791,-0.0350318,0.70473,-1.64612,-1.35117,0.32725,2.8208900000000003,0.648306,allday,,3_hour,2.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1008.92,0.203349,1008.91,1008.47,1009.2,allday,,3_hour,2.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,59.4819,23.2059,58.0,24.0,100.0,allday,,3_hour,,,,,,,,2.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0369665,0.152099,0.0092211,0.00101694,6.932189999999999,-0.000182694,0.00696697,-0.00457598,0.00420185,0.014032,0.00619728,-0.16808199999999998,0.511121,-0.0489095,-0.00129066,0.00476643,-0.00024958799999999997,2.56528,-4.71796,2.6019799999999997,446.251,492.621,623.3919999999999,allday,,3_hour,4.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,2.8954e-05,-4.53829,0.48257799999999995,0.24128899999999998,1.0,2.0,0.11111099999999999,-1.65077,1305.59,0.127999,0.23711100000000002,1300.0,300.0,0.0,130.0,30.0,,130.0,30.0,50.0,80.0,0.028856200000000002,-0.0,0.555556,0.777778,-0.0,-0.0,1.0,1.0,0.11111099999999999,1300.0,0.0,0.0,130.0,30.0,50.0,80.0,0.166667,allday,,3_hour,2.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.0,0.0,552.749,552.749,552.749,0.0,552.749,552.749,552.749,552.749,0.0,552.749,2021-09-10 00:00:00,,,2021-09-10 23:59:59,,allday,,3_hour
5,5.0,6.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-11 09:00:00,-1.0,6.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.00915,0.17811,0.9966010000000001,0.0867367,4.56684,0.09676030000000001,0.0673529,-0.77642,0.0534812,0.2367,0.143201,0.34636300000000003,0.649767,0.46922200000000003,0.0389708,0.119629,0.0410639,1.91093,1.41624,1.5847799999999999,6.692080000000001,3.6090699999999996,1.65924,allday,,3_hour,6.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1008.83,0.587076,1008.94,1007.82,1010.4,allday,,3_hour,6.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,74.0,4.32049,74.0,67.0,81.0,allday,,3_hour,,,,,,,,6.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.31092600000000004,0.795528,0.010561200000000001,0.000492654,10.3953,-0.00440489,0.00422848,0.0037573999999999997,0.25857399999999997,0.308131,0.16278199999999998,-0.0930669,-0.207352,0.526718,-0.0262702,-0.0464396,0.10806400000000001,0.43348100000000006,0.0583283,-0.834883,22.8163,32.3526,40.2937,allday,,3_hour,8.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,1.65959e-09,-8.78,-0.0,-0.0,0.0,1.0,0.22222199999999998,-3.7933,912.0980000000001,0.0894214,0.0464476,1400.0,0.0,0.0,140.0,,,140.0,140.0,0.0,140.0,0.0111302,-0.0,0.722222,0.8888889999999999,-0.0,-0.0,0.0,1.0,0.22222199999999998,1400.0,0.0,0.0,140.0,140.0,0.0,140.0,-0.0,allday,,3_hour,6.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,24.0,0.00833333,48.916000000000004,20.5648,0.021466700000000002,6.24322,4.0763300000000005,48.916000000000004,20.5648,0.021466700000000002,6.24322,4.0763300000000005,2021-09-10 20:14:00,,2021-09-10 22:31:12,2021-09-11 23:59:59,,allday,,3_hour
6,6.0,7.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-11 12:00:00,-1.0,7.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.9967459999999999,0.0228015,0.9966280000000001,0.333507,2.30219,0.0588928,-0.113883,-0.946465,0.00982988,0.05989969999999999,0.0120584,-0.05245639999999999,-0.682238,0.38069400000000003,-0.00127289,-0.0183358,0.00414479,3.01775,-1.31691,4.00976,17.0039,1.37947,29.0087,allday,,3_hour,7.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1006.87,0.45901800000000004,1006.6,1006.28,1007.83,allday,,3_hour,7.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,60.4167,3.4990099999999997,60.5,55.0,66.0,allday,,3_hour,,,,,,,,7.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.05130459999999999,0.30197399999999996,0.00977334,0.00124973,15.222999999999999,-0.000735572,0.00689449,-0.0054034,0.020834599999999998,0.0571932,0.015715100000000003,0.143468,0.0242424,-0.0123168,0.00495255,0.0007268,-0.000222873,-2.6886200000000002,-5.96243,1.3216299999999999,368.792,1109.02,600.41,allday,,3_hour,9.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,3.74785e-09,-8.426219999999999,-0.0,-0.0,0.0,1.0,0.0,-6.32343,135.502,0.0132845,9.94893e-05,1800.0,0.0,0.0,180.0,,,180.0,180.0,0.0,180.0,0.0,-0.0,0.666667,1.0,-0.0,-0.0,0.0,1.0,0.0,1800.0,0.0,0.0,180.0,180.0,0.0,180.0,-0.0,allday,,3_hour,7.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,22.0,0.00763889,45.4621,24.9838,0.028183299999999998,6.89439,4.13291,45.4621,24.9838,0.028183299999999998,6.89439,4.13291,2021-09-10 23:10:20,,2021-09-11 01:48:50,2021-09-11 23:59:59,,allday,,3_hour
7,7.0,8.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-11 15:00:00,0.0,8.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.996634,0.0226149,0.9966459999999999,0.0352416,1.8091700000000002,0.0382181,-0.106602,-0.9547540000000001,0.00566073,0.0541427,0.00960762,-0.022178200000000002,-0.789496,0.325756,-0.000388276,-0.0180068,0.00240239,4.42558,-1.53406,3.87354,62.0761,1.1103,29.8488,allday,,3_hour,8.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1006.34,0.10805999999999999,1006.34,1006.14,1006.53,allday,,3_hour,8.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,48.9091,3.0586599999999997,49.0,44.0,54.0,allday,,3_hour,,,,,,,,8.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.053514400000000004,0.306956,0.00954818,0.0009785269999999999,10.5522,9.38772e-05,0.00724945,-0.00523629,0.021999599999999998,0.0631312,0.0118752,0.107003,-0.12834,-0.0341347,0.00398781,-0.00351409,-0.0005517359999999999,0.937615,0.00891373,-2.3729,261.655,562.617,310.785,allday,,3_hour,10.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,1.59445e-09,-8.79739,-0.0,-0.0,0.0,1.0,0.0,-6.33398,73.1451,0.00717109,2.26567e-05,1800.0,0.0,0.0,180.0,,,180.0,180.0,0.0,180.0,0.0,-0.0,0.666667,1.0,-0.0,-0.0,0.0,1.0,0.0,1800.0,0.0,0.0,180.0,180.0,0.0,180.0,-0.0,allday,,3_hour,8.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,35.0,0.0125,1174.71,1152.89,0.000866667,263.796,65.2619,1174.71,1152.89,0.000866667,263.796,65.2619,2021-09-11 02:05:33,,2021-09-11 23:59:59,2021-09-11 04:44:41,,allday,,3_hour
8,8.0,9.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-11 18:00:00,0.0,9.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.999555,0.0644958,0.996675,0.10529300000000001,3.42345,0.0765865,-0.09101160000000001,-0.887149,0.0384673,0.10634,0.0572826,0.42235,0.22069299999999997,0.717187,0.027013099999999998,0.0172248,0.0336664,3.62992,0.248664,2.86648,18.2374,2.25359,8.54025,allday,,3_hour,9.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1006.83,0.290404,1006.76,1006.36,1007.52,allday,,3_hour,9.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,35.5,4.60977,35.5,28.0,43.0,allday,,3_hour,,,,,,,,9.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.11564100000000001,0.489361,0.00973975,0.00115768,10.8449,-0.0007421260000000001,0.0075462,-0.00386525,0.0655283,0.120143,0.0671033,0.22314,0.0205196,0.266549,0.0197993,0.00184246,0.0176755,2.1362900000000002,-1.05014,-0.0372788,127.652,159.851,127.68299999999999,allday,,3_hour,11.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,5.81609e-08,-7.23537,-0.0,-0.0,2.0,1.0,0.0,-5.56565,306.25,0.0300245,0.00315822,1700.0,0.0,0.0,170.0,,,110.0,10.0,40.8248,60.0,0.0,0.055555600000000004,0.388889,1.0,-0.0,-0.0,2.0,1.0,0.0,1700.0,0.0,0.0,110.0,10.0,40.8248,60.0,0.055555600000000004,allday,,3_hour,9.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,29.0,0.00972222,339.973,303.806,0.06315,75.2207,22.6649,339.973,303.806,0.06315,75.2207,22.6649,2021-09-11 00:00:00,,2021-09-11 07:42:27,2021-09-11 23:59:59,,allday,,3_hour
9,9.0,10.0, a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2021-09-11 21:00:00,1.0,10.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.998984,0.0335976,0.997075,0.0990975,4.9608300000000005,0.20689699999999997,-0.198601,-0.725949,0.10543599999999999,0.07366039999999999,0.210752,-0.133099,-0.365877,0.741363,-0.0117299,-0.0455876,0.11051400000000002,1.20023,-0.538026,1.72843,1.085,0.0246957,1.76807,allday,,3_hour,10.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1007.27,0.159333,1007.3,1006.88,1007.55,allday,,3_hour,10.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,41.1,19.7931,38.5,13.0,78.0,allday,,3_hour,1.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2.0,497.841,allday,,3_hour,10.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0912027,0.364406,0.0102022,0.000388716,12.2036,0.0006642110000000001,0.00715352,-0.00507881,0.0358072,0.0714251,0.0337996,-0.0407811,0.0748954,-0.0646818,-0.00206243,0.00367997,-0.00225025,1.17741,-4.56617,-3.13145,195.563,313.964,233.74,allday,,3_hour,12.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,18.0,3.0541399999999995e-09,-8.51511,-0.0,-0.0,0.0,1.0,0.0,-6.38342,115.205,0.0112946,5.6822e-05,1800.0,0.0,0.0,180.0,,,180.0,180.0,0.0,180.0,0.0,-0.0,0.833333,1.0,-0.0,-0.0,0.0,1.0,0.0,1800.0,0.0,0.0,180.0,180.0,0.0,180.0,-0.0,allday,,3_hour,10.0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,26.0,0.00902778,91.0512,25.9638,0.0059,8.86391,7.003939999999999,91.0512,25.9638,0.0059,8.86391,7.003939999999999,2021-09-11 08:00:30,,2021-09-11 10:30:19,2021-09-11 23:59:59,,allday,,3_hour
